Year,Country,Species,Region,Catch (Tons)
1950,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",432
1951,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",299
1952,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",368
1953,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",201
1954,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",175
1955,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",133
1956,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",40
1957,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",47
1958,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",38
1959,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",93
1960,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",37
1961,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",120
1962,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",177
1963,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",642
1964,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",996
1965,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",636
1966,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",198
1967,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",230
1968,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",281
1969,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",363
1970,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",1442
1971,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",1082
1972,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",477
1973,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",1018
1974,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",768
1975,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",641
1976,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",846
1977,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",972
1978,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",670
1979,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",245
1980,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",324
1981,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",425
1982,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",291
1983,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",433
1984,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",264
1985,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",142
1986,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",73
1987,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",83
1988,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",393
1989,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",633
1990,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",438
1991,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",485
1992,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",443
1993,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",459
1994,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",392
1995,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",576
1996,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",597
1997,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",509
1998,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",611
1999,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",587
2000,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",595
2001,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",537
2002,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",641
2003,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",571
2004,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",552
2005,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",600
2006,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",735
2007,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",491
2008,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",576
2009,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",533
2010,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",530
2011,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",510
2012,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",493
2013,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",480
2014,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",463
2015,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",533
2016,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",474
2017,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",473
2018,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",511
2019,Canada,Atlantic bluefin tuna,"Atlantic, Northwest",669
1950,Canada,Atlantic cod,"Atlantic, Northwest",305800
1951,Canada,Atlantic cod,"Atlantic, Northwest",295000
1952,Canada,Atlantic cod,"Atlantic, Northwest",288100
1953,Canada,Atlantic cod,"Atlantic, Northwest",242200
1954,Canada,Atlantic cod,"Atlantic, Northwest",354800
1955,Canada,Atlantic cod,"Atlantic, Northwest",315700
1956,Canada,Atlantic cod,"Atlantic, Northwest",353300
1957,Canada,Atlantic cod,"Atlantic, Northwest",352300
1958,Canada,Atlantic cod,"Atlantic, Northwest",287900
1959,Canada,Atlantic cod,"Atlantic, Northwest",356000
1960,Canada,Atlantic cod,"Atlantic, Northwest",336100
1961,Canada,Atlantic cod,"Atlantic, Northwest",286000
1962,Canada,Atlantic cod,"Atlantic, Northwest",320600
1963,Canada,Atlantic cod,"Atlantic, Northwest",334300
1964,Canada,Atlantic cod,"Atlantic, Northwest",315500
1965,Canada,Atlantic cod,"Atlantic, Northwest",313900
1966,Canada,Atlantic cod,"Atlantic, Northwest",308100
1967,Canada,Atlantic cod,"Atlantic, Northwest",283600
1968,Canada,Atlantic cod,"Atlantic, Northwest",323100
1969,Canada,Atlantic cod,"Atlantic, Northwest",294000
1970,Canada,Atlantic cod,"Atlantic, Northwest",262900
1971,Canada,Atlantic cod,"Atlantic, Northwest",244600
1972,Canada,Atlantic cod,"Atlantic, Northwest",218800
1973,Canada,Atlantic cod,"Atlantic, Northwest",177300
1974,Canada,Atlantic cod,"Atlantic, Northwest",157138
1975,Canada,Atlantic cod,"Atlantic, Northwest",153746
1976,Canada,Atlantic cod,"Atlantic, Northwest",192717
1977,Canada,Atlantic cod,"Atlantic, Northwest",235444
1978,Canada,Atlantic cod,"Atlantic, Northwest",296449
1979,Canada,Atlantic cod,"Atlantic, Northwest",370245
1980,Canada,Atlantic cod,"Atlantic, Northwest",418005
1981,Canada,Atlantic cod,"Atlantic, Northwest",432551
1982,Canada,Atlantic cod,"Atlantic, Northwest",510725
1983,Canada,Atlantic cod,"Atlantic, Northwest",509052
1984,Canada,Atlantic cod,"Atlantic, Northwest",475942
1985,Canada,Atlantic cod,"Atlantic, Northwest",480471
1986,Canada,Atlantic cod,"Atlantic, Northwest",474720
1987,Canada,Atlantic cod,"Atlantic, Northwest",458050
1988,Canada,Atlantic cod,"Atlantic, Northwest",468126
1989,Canada,Atlantic cod,"Atlantic, Northwest",426090
1990,Canada,Atlantic cod,"Atlantic, Northwest",395266
1991,Canada,Atlantic cod,"Atlantic, Northwest",309031
1992,Canada,Atlantic cod,"Atlantic, Northwest",187526
1993,Canada,Atlantic cod,"Atlantic, Northwest",76556
1994,Canada,Atlantic cod,"Atlantic, Northwest",22719
1995,Canada,Atlantic cod,"Atlantic, Northwest",12438
1996,Canada,Atlantic cod,"Atlantic, Northwest",15541
1997,Canada,Atlantic cod,"Atlantic, Northwest",29899
1998,Canada,Atlantic cod,"Atlantic, Northwest",37741
1999,Canada,Atlantic cod,"Atlantic, Northwest",55410
2000,Canada,Atlantic cod,"Atlantic, Northwest",46046
2001,Canada,Atlantic cod,"Atlantic, Northwest",40325
2002,Canada,Atlantic cod,"Atlantic, Northwest",35255
2003,Canada,Atlantic cod,"Atlantic, Northwest",22755
2004,Canada,Atlantic cod,"Atlantic, Northwest",24729
2005,Canada,Atlantic cod,"Atlantic, Northwest",26156
2006,Canada,Atlantic cod,"Atlantic, Northwest",27412
2007,Canada,Atlantic cod,"Atlantic, Northwest",26732
2008,Canada,Atlantic cod,"Atlantic, Northwest",26837
2009,Canada,Atlantic cod,"Atlantic, Northwest",19948
2010,Canada,Atlantic cod,"Atlantic, Northwest",17257
2011,Canada,Atlantic cod,"Atlantic, Northwest",13038
2012,Canada,Atlantic cod,"Atlantic, Northwest",10997
2013,Canada,Atlantic cod,"Atlantic, Northwest",10518
2014,Canada,Atlantic cod,"Atlantic, Northwest",13000
2015,Canada,Atlantic cod,"Atlantic, Northwest",12234
2016,Canada,Atlantic cod,"Atlantic, Northwest",18213
2017,Canada,Atlantic cod,"Atlantic, Northwest",22743
2018,Canada,Atlantic cod,"Atlantic, Northwest",18073
2019,Canada,Atlantic cod,"Atlantic, Northwest",10581
1950,Canada,Atlantic halibut,"Atlantic, Northwest",5200
1951,Canada,Atlantic halibut,"Atlantic, Northwest",3500
1952,Canada,Atlantic halibut,"Atlantic, Northwest",1800
1953,Canada,Atlantic halibut,"Atlantic, Northwest",1900
1954,Canada,Atlantic halibut,"Atlantic, Northwest",3000
1955,Canada,Atlantic halibut,"Atlantic, Northwest",2600
1956,Canada,Atlantic halibut,"Atlantic, Northwest",3400
1957,Canada,Atlantic halibut,"Atlantic, Northwest",4500
1958,Canada,Atlantic halibut,"Atlantic, Northwest",3900
