X,Y,OBJECTID,Name,Descr,TimeWhen,Extrude,AltMode,Symbology,Labeling,Class
-142.9,61.5,1,Jun-00,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve</b><br></br><a href=",6/16/00 12:00,1,RelativeToGround, , ,A
-132.7982,55.1872,2,1995,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2917: Family observes large biped from car</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification",5/15/95 12:00,1,RelativeToGround, , ,A
-132.8202,55.2035,3,Feb-04,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 7963: Sasquatch walks past window of house at night</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",2/9/04 12:00,1,RelativeToGround, , ,A
-141.5667,62.9375,4,Jun-04,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border</b><br></br><a href=""http://www.bf",6/18/04 12:00,1,RelativeToGround, , ,A
-149.7853,61.0595,5,Feb-04,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 13038: Snowmobiler has encounter in deep snow near Potter, AK</b><br></br><a href=""http://www.bfro.net/gdb/classify",2/15/04 12:00,1,RelativeToGround, , ,A
-141.3165,62.77335,6,Apr-08,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road</b><br></br><a href=""http:/",4/23/08 12:00,1,RelativeToGround, , ,A
-147.8142,64.89139,7,Jul-09,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks</b><br></br><a href=""http://www.bfro.net/gdb/clas",7/15/09 12:00,1,RelativeToGround, , ,A
-85.16235,32.31435,8,September 1981 and 1982,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving</b><br></br><a href=""http:/",9/15/81 12:00,1,RelativeToGround, , ,A
-87.32655,33.28375,9,Jul-99,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard</b><br></br><a href=""http://www.bfro.net/gdb/clas",7/15/99 12:00,1,RelativeToGround, , ,A
-86.4559,34.95605,10,Nov-83,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 416: A resident's early evening sighting next to his home near New Market</b><br></br><a href=""http://www.bfro.net/",11/15/83 12:00,1,RelativeToGround, , ,A
-86.66465,34.5422,11,Oct-00,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs</b><br></br><a href=""http://www.bfro.n",10/10/00 12:00,1,RelativeToGround, , ,A
-87.02025,34.9263,12,Aug-93,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 451: Young man has sighting near home</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Cla",8/20/93 12:00,1,RelativeToGround, , ,A
-87.50905,34.80405,13,"79, 80, 99","<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 577: Man has repeated visits at family farm</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classificatio",11/15/99 12:00,1,RelativeToGround, , ,A
-87.1105,34.92855,14,1978,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water</b>",4/15/78 12:00,1,RelativeToGround, , ,A
-88.17885,33.13195,15,Nov-80,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes ar",11/15/80 12:00,1,RelativeToGround, , ,A
-88.08305,31.4515,16,Jan-97,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 961: Motorist confronted by hairy, man-like creature on roadside</b><br></br><a href=""http://www.bfro.net/gdb/class",1/6/97 12:00,1,RelativeToGround, , ,A
-87.45876,33.97575,17,1990,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1022: Hunters observe creature walking in the woods</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",9/15/90 12:00,1,RelativeToGround, , ,A
-87.96095,31.58255,18,Dec-96,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1907: Motorist sees Bigfoot like creature, hears scream</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#c",12/5/96 12:00,1,RelativeToGround, , ,A
-86.6333,34.4881,19,2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3028: Daylight sighting by lady while her husband was clearing trees</b><br></br><a href=""http://www.bfro.net/gdb/c",6/1/00 12:00,1,RelativeToGround, , ,A
-87.00665,34.6802,20,2001,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights</b><br></br><a href=""http://www.bfro.n",10/15/01 12:00,1,RelativeToGround, , ,A
