% of Delayed Flights,Airport Code,Airport Name,Carrier Code,Carrier Name,City,Date,Minutes of Delay per Flight,Minutes of Delay,Number of Flights,Number of Records,Ontime Category,State
,PHX,Phoenix Sky Harbor International,9E,Pinnacle,Phoenix,1/1/13,,,0,1,Cancelled,AZ
0,DEN,Denver International,9E,Pinnacle,Denver,1/1/13,,,2,1,Cancelled,CO
0,MCO,Orlando International,9E,Pinnacle,Orlando,1/1/13,,,2,1,Cancelled,FL
0,ATL,Hartsfield-Jackson Atlanta,9E,Pinnacle,Atlanta,1/1/13,,,59,1,Cancelled,GA
0,ORD,Chicago O'Hare International,9E,Pinnacle,Chicago,1/1/13,,,13,1,Cancelled,IL
0,BOS,Logan International,9E,Pinnacle,Boston,1/1/13,,,9,1,Cancelled,MA
0,BWI,Baltimore/Washington International,9E,Pinnacle,Baltimore,1/1/13,,,10,1,Cancelled,MD
0,DTW,Detroit Metro Wayne County,9E,Pinnacle,Detroit,1/1/13,,,179,1,Cancelled,MI
0,MSP,Minneapolis-St Paul International,9E,Pinnacle,Minneapolis,1/1/13,,,80,1,Cancelled,MN
0,CLT,Charlotte Douglas International,9E,Pinnacle,Charlotte,1/1/13,,,7,1,Cancelled,NC
0,EWR,Newark Liberty International,9E,Pinnacle,Newark,1/1/13,,,3,1,Cancelled,NJ
0,JFK,John F. Kennedy International,9E,Pinnacle,New York,1/1/13,,,67,1,Cancelled,NY
0,LGA,LaGuardia,9E,Pinnacle,New York,1/1/13,,,6,1,Cancelled,NY
0,DFW,Dallas/Fort Worth International,9E,Pinnacle,Dallas/Fort Worth,1/1/13,,,2,1,Cancelled,TX
0,IAH,George Bush Intercontinental,9E,Pinnacle,Houston,1/1/13,,,3,1,Cancelled,TX
0,SLC,Salt Lake City International,9E,Pinnacle,Salt Lake City,1/1/13,,,6,1,Cancelled,UT
0,PHX,Phoenix Sky Harbor International,AA,American,Phoenix,1/1/13,,,7,1,Cancelled,AZ
0,LAX,Los Angeles International,AA,American,Los Angeles,1/1/13,,,31,1,Cancelled,CA
0,SFO,San Francisco International,AA,American,San Francisco,1/1/13,,,18,1,Cancelled,CA
0,DEN,Denver International,AA,American,Denver,1/1/13,,,2,1,Cancelled,CO
0,MCO,Orlando International,AA,American,Orlando,1/1/13,,,12,1,Cancelled,FL
0,ATL,Hartsfield-Jackson Atlanta,AA,American,Atlanta,1/1/13,,,14,1,Cancelled,GA
0,ORD,Chicago O'Hare International,AA,American,Chicago,1/1/13,,,65,1,Cancelled,IL
0,BOS,Logan International,AA,American,Boston,1/1/13,,,14,1,Cancelled,MA
0,BWI,Baltimore/Washington International,AA,American,Baltimore,1/1/13,,,2,1,Cancelled,MD
0,DTW,Detroit Metro Wayne County,AA,American,Detroit,1/1/13,,,3,1,Cancelled,MI
0,MSP,Minneapolis-St Paul International,AA,American,Minneapolis,1/1/13,,,8,1,Cancelled,MN
