playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
aardsda01,2015,1,ATL,NL,33,1,0,0,0,0,0,0,0,0,0,1
abadfe01,2015,1,OAK,AL,62,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2015,1,CHA,AL,154,613,88,178,34,3,30,101,0,0,39,140
achteaj01,2015,1,MIN,AL,11,0,0,0,0,0,0,0,0,0,0,0
ackledu01,2015,1,SEA,AL,85,186,22,40,8,1,6,19,2,2,14,38
ackledu01,2015,2,NYA,AL,23,52,6,15,3,2,4,11,0,0,4,7
adamecr01,2015,1,COL,NL,26,53,4,13,1,1,0,3,0,1,3,11
adamsau01,2015,1,CLE,AL,28,1,0,0,0,0,0,0,0,0,0,0
adamsma01,2015,1,SLN,NL,60,175,14,42,9,0,5,24,1,0,10,41
adcocna01,2015,1,CIN,NL,13,0,0,0,0,0,0,0,0,0,0,0
adriaeh01,2015,1,SFN,NL,52,113,11,21,7,1,0,11,3,2,15,20
affelje01,2015,1,SFN,NL,52,2,0,0,0,0,0,0,0,0,0,2
aguilje01,2015,1,CLE,AL,7,19,0,6,1,0,0,2,0,0,0,7
ahmedni01,2015,1,ARI,NL,134,421,49,95,17,6,9,34,4,5,29,81
alberan01,2015,1,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0
alberha01,2015,1,TEX,AL,41,99,12,22,2,1,0,4,1,0,2,17
alberma01,2015,1,CHA,AL,30,0,0,0,0,0,0,0,0,0,0,0
albural01,2015,1,DET,AL,67,0,0,0,0,0,0,0,0,0,0,0
alcanar01,2015,1,CHN,NL,11,26,5,2,0,0,0,1,1,0,5,11
alexasc01,2015,1,KCA,AL,4,0,0,0,0,0,0,0,0,0,0,0
allenco01,2015,1,CLE,AL,70,0,0,0,0,0,0,0,0,0,0,0
almonab01,2015,1,SDN,NL,31,54,6,11,3,0,0,4,1,1,5,19
almonab01,2015,2,CLE,AL,51,178,30,47,9,5,5,20,6,0,16,33
almonmi01,2015,1,KCA,AL,9,0,0,0,0,0,0,0,0,0,0,0
alonsyo01,2015,1,SDN,NL,103,354,50,100,18,1,5,31,2,5,42,48
altheaa01,2015,1,PHI,NL,39,137,25,33,11,4,5,22,6,2,16,41
altuvjo01,2015,1,HOU,AL,154,638,86,200,40,4,15,66,38,13,33,67
alvarda01,2015,1,NYN,NL,6,0,0,0,0,0,0,0,0,0,0,0
alvarda02,2015,1,BAL,AL,12,29,3,7,1,0,1,1,0,0,2,8
alvarhe01,2015,1,MIA,NL,4,6,1,2,1,0,0,1,0,0,0,1
alvarjo02,2015,1,LAA,AL,64,0,0,0,0,0,0,0,0,0,0,0
alvarpe01,2015,1,PIT,NL,150,437,60,106,18,0,27,77,2,0,48,131
alvarrj01,2015,1,OAK,AL,21,0,0,0,0,0,0,0,0,0,0,0
amarial01,2015,1,SDN,NL,118,324,28,66,10,4,3,30,5,1,24,55
anderbr04,2015,1,LAN,NL,31,47,1,4,1,0,0,3,0,0,5,32
anderbr05,2015,1,OAK,AL,4,5,0,2,0,0,0,1,0,0,1,1
anderch01,2015,1,ARI,NL,28,48,0,5,0,0,0,3,0,0,1,23
anderco01,2015,1,CLE,AL,15,3,0,0,0,0,0,0,0,0,0,3
andrima01,2015,1,TBA,AL,25,1,0,0,0,0,0,0,0,0,0,0
andruel01,2015,1,TEX,AL,160,596,69,154,34,2,7,62,25,9,46,78
annade01,2015,1,SLN,NL,1,1,0,0,0,0,0,0,0,0,0,0
aokino01,2015,1,SFN,NL,93,355,42,102,12,3,5,26,14,5,30,25
araujel01,2015,1,PHI,NL,40,1,0,0,0,0,0,0,0,0,0,1
archech01,2015,1,TBA,AL,34,5,0,0,0,0,0,0,0,0,0,3
arciaos01,2015,1,MIN,AL,19,58,6,16,0,0,2,8,0,0,4,15
arenano01,2015,1,COL,NL,157,616,97,177,43,4,42,130,2,5,34,110
arencjp01,2015,1,TBA,AL,24,71,9,22,3,0,6,17,0,0,1,22
ariasjo01,2015,1,SFN,NL,40,58,5,12,1,0,1,4,1,0,0,12
armstsh01,2015,1,CLE,AL,8,0,0,0,0,0,0,0,0,0,0,0
arojo01,2015,1,BOS,AL,6,0,0,0,0,0,0,0,0,0,0,0
arrieja01,2015,1,CHN,NL,33,79,5,12,1,1,2,2,0,0,1,45
ascheco01,2015,1,PHI,NL,129,425,41,104,22,3,12,39,1,2,26,111
asheral01,2015,1,PHI,NL,7,6,0,2,1,0,0,0,0,0,0,3
ashlene01,2015,1,MIL,NL,12,20,2,2,1,0,0,1,0,0,0,8
atchisc01,2015,1,CLE,AL,23,0,0,0,0,0,0,0,0,0,0,0
aumonph01,2015,1,PHI,NL,1,0,0,0,0,0,0,0,0,0,1,0
avilaal01,2015,1,DET,AL,67,178,21,34,5,0,4,13,0,1,40,66
avilalu01,2015,1,ATL,NL,50,0,0,0,0,0,0,0,0,0,0,0
avilalu01,2015,2,LAN,NL,23,1,0,0,0,0,0,0,0,0,0,0
avilemi01,2015,1,CLE,AL,98,290,37,67,10,0,5,17,3,1,20,38
axelrdy01,2015,1,CIN,NL,6,2,0,0,0,0,0,0,0,0,0,1
axforjo01,2015,1,COL,NL,60,0,0,0,0,0,0,0,0,0,0,0
aybarer01,2015,1,LAA,AL,156,597,74,161,30,1,3,44,15,6,25,73
badenbu01,2015,1,CIN,NL,68,1,0,0,0,0,0,0,0,0,0,0
baezja01,2015,1,CHN,NL,28,76,4,22,6,0,1,4,1,2,4,24
baezpe01,2015,1,LAN,NL,52,0,0,0,0,0,0,0,0,0,0,0
bailean01,2015,1,NYA,AL,10,0,0,0,0,0,0,0,0,0,0,0
baileho02,2015,1,CIN,NL,2,4,0,0,0,0,0,0,0,0,0,1
bakerje03,2015,1,MIA,NL,41,72,11,15,3,0,3,8,0,0,8,25
bakersc02,2015,1,LAN,NL,2,3,0,0,0,0,0,0,0,0,0,1
balesco01,2015,1,CIN,NL,15,1,0,0,0,0,0,0,0,0,0,0
balfogr01,2015,1,TBA,AL,6,0,0,0,0,0,0,0,0,0,0,0
bandyje01,2015,1,LAA,AL,2,2,1,1,0,0,1,1,0,0,0,0
banuema01,2015,1,ATL,NL,7,3,0,0,0,0,0,0,0,0,0,1
barmecl01,2015,1,SDN,NL,98,207,24,48,14,1,3,16,0,1,10,55
barneau01,2015,1,LAN,NL,20,29,4,6,2,0,0,1,1,0,6,6
barnebr02,2015,1,COL,NL,106,255,30,64,13,2,2,17,4,2,21,67
barneda01,2015,1,LAN,NL,2,4,0,0,0,0,0,0,0,0,0,0
barneda01,2015,2,TOR,AL,15,23,4,7,1,0,2,4,0,0,1,2
barnema01,2015,1,BOS,AL,32,0,0,0,0,0,0,0,0,0,0,0
barnhtu01,2015,1,CIN,NL,81,242,23,61,9,0,3,18,0,1,25,45
baronst01,2015,1,SEA,AL,4,11,0,0,0,0,0,0,0,0,0,2
barraky01,2015,1,MIA,NL,25,0,0,0,0,0,0,0,0,0,0,0
barreaa01,2015,1,WAS,NL,40,0,0,0,0,0,0,0,0,0,0,0
barriyh01,2015,1,MIL,NL,5,0,0,0,0,0,0,0,0,0,0,0
bassan01,2015,1,TEX,AL,33,0,0,0,0,0,0,0,0,0,0,0
bassich01,2015,1,OAK,AL,18,2,0,0,0,0,0,0,0,0,0,1
bastaan01,2015,1,PIT,NL,66,2,0,0,0,0,0,0,0,0,0,2
bauertr01,2015,1,CLE,AL,31,6,0,1,0,0,0,0,0,0,1,1
